timestamp,success,tx,ty,tz,qx,qy,qz,qw,track_count,pnp_point_count,pnp_inlier_count,reprojection_error_mean,reprojection_error_median,pnp_rotation_step_deg,imu_rotation_step_deg,pnp_imu_rotation_error_deg,imu_rotation_consistent,imu_rejected,message,pose_source,map_point_count,map_inlier_count,local_landmark_count,map_descriptor_match_count,map_message,new_feature_count,tracking_state,reference_keyframe_id,is_keyframe,loop_candidate_count,loop_candidate_id,loop_match_count,loop_accepted,relocalized,graph_cost_before,graph_cost_after,loop_relative_scale
1750921983.146057129,1,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,0,0,nan,nan,nan,nan,nan,0,0,initialized,initialization,0,0,0,0,,1000,TRACKING,0,1,0,-1,0,0,0,nan,nan,nan
1750921983.158057213,1,0.000703023,-0.003136767,-0.017058772,0.000737144,0.005703325,-0.000441082,0.999983367,959,610,586,0.838995771,0.709698417,0.660928277,nan,nan,0,0,ok,map,610,586,610,0,ok,41,TRACKING,0,0,0,-1,0,0,0,nan,nan,nan
1750921983.170057297,1,0.001016569,-0.004254540,-0.037951961,0.000545569,0.013310744,-0.001475246,0.999910171,967,609,547,1.076164450,0.929722619,0.880080097,0.789533107,0.105677621,1,0,ok,map,609,547,610,0,ok,33,TRACKING,0,0,0,-1,0,0,0,nan,nan,nan
1750921983.182057381,1,-0.002026312,-0.006900291,-0.060237194,0.000824127,0.020292925,-0.002183166,0.999791354,974,608,523,1.240628308,1.122222772,0.804951018,0.790358344,0.064239414,1,0,ok,map,608,523,610,0,ok,26,TRACKING,0,0,0,-1,0,0,0,nan,nan,nan
1750921983.194057465,1,-0.005310780,-0.006545966,-0.080974320,-0.000109820,0.027447802,-0.002691441,0.999619609,991,606,482,1.131590718,1.033202966,0.829128292,0.844756710,0.092230753,1,0,ok,map,606,482,610,0,ok,9,TRACKING,0,0,0,-1,0,0,0,nan,nan,nan
1750921983.206057549,1,-0.014279353,-0.007235350,-0.098110457,-0.000310226,0.032776475,-0.002972246,0.999458239,985,596,485,1.070455633,0.976720280,0.612565757,0.800469074,0.196144528,1,0,ok,map,596,485,610,0,ok,15,TRACKING,1,1,0,-1,0,0,0,nan,nan,nan
1750921983.218057632,1,-0.017813259,-0.007578649,-0.118424028,-0.000024850,0.039887524,-0.003866062,0.999196697,962,716,637,0.811876350,0.686992998,0.822476788,0.818385889,0.047539268,1,0,ok,map,716,637,752,0,ok,38,TRACKING,1,0,0,-1,0,0,0,nan,nan,nan
1750921983.230057716,1,-0.022341168,-0.009942612,-0.139569866,0.000882844,0.046707479,-0.004513566,0.998898023,965,699,593,1.008931054,0.896449033,0.792625378,0.792390454,0.055834049,1,0,ok,map,699,593,752,0,ok,35,TRACKING,1,0,0,-1,0,0,0,nan,nan,nan
1750921983.242057800,1,-0.020909343,-0.015507109,-0.156684830,0.000936312,0.055356445,-0.004583616,0.998455696,973,687,508,1.337909999,1.233630052,0.992448206,0.817161918,0.213362906,1,0,ok,map,687,508,752,0,ok,27,TRACKING,1,0,0,-1,0,0,0,nan,nan,nan
1750921983.254057884,1,-0.032269147,-0.012847136,-0.177696712,-0.001315614,0.060968798,-0.004614378,0.998128139,963,663,486,1.260871249,1.177754304,0.693993872,0.908110260,0.236499860,1,0,ok,map,663,486,752,0,ok,37,TRACKING,1,0,0,-1,0,0,0,nan,nan,nan
