timestamp,success,tx,ty,tz,qx,qy,qz,qw,track_count,pnp_point_count,pnp_inlier_count,reprojection_error_mean,reprojection_error_median,pnp_rotation_step_deg,imu_rotation_step_deg,pnp_imu_rotation_error_deg,imu_rotation_consistent,imu_rejected,message,pose_source,map_point_count,map_inlier_count,local_landmark_count,map_descriptor_match_count,map_message,new_feature_count,tracking_state,reference_keyframe_id,is_keyframe,loop_candidate_count,loop_candidate_id,loop_match_count,loop_accepted,relocalized,graph_cost_before,graph_cost_after,loop_pnp_point_count,loop_inlier_count,loop_inlier_ratio,loop_reprojection_error_median,loop_pnp_message
0.006005000,1,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,0,0,nan,nan,nan,nan,nan,0,0,initialized,initialization,0,0,0,0,,1000,TRACKING,0,1,0,-1,0,0,0,nan,nan,0,0,nan,nan,
0.018005000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,982,115,36,1.736106142,1.663027131,0.000713982,0.000713982,0.000007245,1,0,translation step too large: 0.049,none,17,8,17,0,too few PnP inliers: 8,18,LOST,0,0,0,-1,0,0,0,nan,nan,0,0,nan,nan,
0.030005000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,663,87,21,nan,nan,nan,nan,nan,0,0,PnP inlier ratio too low: 0.241,none,11,0,17,1,not enough map correspondences,337,LOST,0,0,0,-1,0,0,0,nan,nan,0,0,nan,nan,
0.042005000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,757,109,30,nan,nan,nan,nan,nan,0,0,PnP inlier ratio too low: 0.275,none,7,0,17,0,not enough map correspondences,243,LOST,0,0,0,-1,0,0,0,nan,nan,0,0,nan,nan,
0.054005000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,757,105,30,nan,nan,nan,nan,nan,0,0,PnP inlier ratio too low: 0.286,none,3,0,17,0,not enough map correspondences,243,LOST,0,0,0,-1,0,0,0,nan,nan,0,0,nan,nan,
0.066005000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,750,92,28,1.724187440,1.716748570,0.000494228,0.000494228,0.000007040,1,0,translation step too large: 0.138,none,1,0,17,0,not enough map correspondences,250,LOST,0,0,0,-1,0,0,0,nan,nan,0,0,nan,nan,
0.078005000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,735,84,19,nan,nan,nan,nan,nan,0,0,too few PnP inliers: 19,none,1,0,17,0,not enough map correspondences,265,LOST,0,0,0,-1,0,0,0,nan,nan,0,0,nan,nan,
0.090005000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,770,92,28,1.666731638,1.874929400,0.000285865,0.000285865,0.000007245,1,0,translation step too large: 0.127,none,0,0,17,0,not enough map correspondences,230,LOST,0,0,0,-1,0,0,0,nan,nan,0,0,nan,nan,
0.102005000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,769,86,25,nan,nan,nan,nan,nan,0,0,PnP inlier ratio too low: 0.291,none,0,0,17,0,not enough map correspondences,231,LOST,0,0,0,-1,0,0,0,nan,nan,0,0,nan,nan,
0.114005000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,759,93,25,nan,nan,nan,nan,nan,0,0,PnP inlier ratio too low: 0.269,none,0,0,17,0,not enough map correspondences,241,LOST,0,0,0,-1,0,0,0,nan,nan,0,0,nan,nan,
0.126005000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,745,93,35,1.575979692,1.736778335,0.000216195,0.000216199,0.000007245,1,0,translation step too large: 0.118,none,0,0,17,0,not enough map correspondences,255,LOST,0,0,0,-1,0,0,0,nan,nan,0,0,nan,nan,
