timestamp,success,tx,ty,tz,qx,qy,qz,qw,track_count,pnp_point_count,pnp_inlier_count,reprojection_error_mean,reprojection_error_median,pnp_rotation_step_deg,imu_rotation_step_deg,pnp_imu_rotation_error_deg,imu_rotation_consistent,imu_rejected,message,pose_source,map_point_count,map_inlier_count,local_landmark_count,map_descriptor_match_count,map_message,new_feature_count,tracking_state,reference_keyframe_id,is_keyframe,loop_candidate_count,loop_candidate_id,loop_match_count,loop_accepted,relocalized,graph_cost_before,graph_cost_after,loop_pnp_point_count,loop_inlier_count,loop_inlier_ratio,loop_reprojection_error_median,loop_pnp_message
1750921983.146057129,1,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,0,0,nan,nan,nan,nan,nan,0,0,initialized,initialization,0,0,0,0,,1000,TRACKING,0,1,0,-1,0,0,0,nan,nan,0,0,nan,nan,
1750921983.158057213,1,0.003347533,-0.003314747,-0.016349947,0.000732666,0.006277847,-0.000489948,0.999979906,959,480,473,0.780051322,0.686864499,0.726448525,nan,nan,0,0,ok,map,480,473,480,0,ok,41,TRACKING,0,0,0,-1,0,0,0,nan,nan,0,0,nan,nan,
1750921983.170057297,1,0.000532345,-0.005521583,-0.036961048,0.000863757,0.013140335,-0.001086720,0.999912698,967,479,458,1.032655825,0.906930574,0.789533107,0.789533107,0.000001708,1,0,ok,map,479,458,480,0,ok,33,TRACKING,0,0,0,-1,0,0,0,nan,nan,0,0,nan,nan,
1750921983.182057381,1,-0.002671421,-0.006266645,-0.058422711,0.000603781,0.019985518,-0.001882749,0.999798315,974,478,450,1.200699882,1.108334162,0.790358344,0.790358344,0.000002091,1,0,ok,map,478,450,480,0,ok,26,TRACKING,0,0,0,-1,0,0,0,nan,nan,0,0,nan,nan,
1750921983.194057465,1,-0.006069779,-0.008354419,-0.080304687,0.000446487,0.027338897,-0.002348610,0.999623364,991,476,439,1.199847626,1.089218875,0.844756710,0.844756710,0.000001708,1,0,ok,map,476,439,480,0,ok,9,TRACKING,0,0,0,-1,0,0,0,nan,nan,0,0,nan,nan,
1750921983.206057549,1,-0.007541733,-0.011093735,-0.101751584,0.000792885,0.034232457,-0.002536462,0.999410364,985,468,422,1.075316681,0.955071273,0.800469074,0.800469074,0.000002091,1,0,ok,map,468,422,480,0,ok,15,TRACKING,1,1,0,-1,0,0,0,nan,nan,0,0,nan,nan,
1750921983.218057632,1,-0.011344518,-0.011632218,-0.121459661,0.001148306,0.041344160,-0.003014707,0.999139757,962,579,546,0.845268331,0.683864477,0.818385889,0.818385889,0.000001708,1,0,ok,map,579,546,607,0,ok,38,TRACKING,1,0,0,-1,0,0,0,nan,nan,0,0,nan,nan,
1750921983.230057716,1,-0.015132718,-0.013072462,-0.140662004,0.001896550,0.048122604,-0.004116250,0.998831154,965,565,520,1.027177789,0.907722929,0.792390454,0.792390454,0.000001708,1,0,ok,map,565,520,607,0,ok,35,TRACKING,1,0,0,-1,0,0,0,nan,nan,0,0,nan,nan,
1750921983.242057800,1,-0.020702670,-0.016500722,-0.159398185,0.001400011,0.055187795,-0.003369442,0.998469326,973,553,464,1.313801137,1.245184894,0.817161918,0.817161918,0.000002700,1,0,ok,map,553,464,607,0,ok,27,TRACKING,1,0,0,-1,0,0,0,nan,nan,0,0,nan,nan,
1750921983.254057884,1,-0.024142022,-0.015202320,-0.179113761,-0.000664086,0.062815500,-0.003763436,0.998017840,963,530,441,1.301566119,1.219781244,0.908110260,0.908110260,0.000000000,1,0,ok,map,530,441,607,0,ok,37,TRACKING,1,0,0,-1,0,0,0,nan,nan,0,0,nan,nan,
1750921983.266057968,1,-0.028333984,-0.020389918,-0.198989931,0.001097093,0.069395816,-0.003895011,0.997580997,959,510,419,1.216454874,1.105494254,0.760516657,0.760516657,0.000002091,1,0,ok,map,510,419,607,0,ok,41,TRACKING,2,1,0,-1,0,0,0,nan,nan,0,0,nan,nan,
1750921983.278058052,1,-0.032499634,-0.020250065,-0.219508282,0.001008613,0.077044545,-0.004823186,0.997015475,970,613,553,0.999134568,0.821847786,0.885345059,0.885345059,0.000000000,1,0,ok,map,613,553,715,0,ok,30,TRACKING,2,0,0,-1,0,0,0,nan,nan,0,0,nan,nan,
