id,frame_index,timestamp,tx,ty,tz,qx,qy,qz,qw,point_count
0,0,0.006005000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0
1,237,2.850005000,-0.000067539,0.002684535,0.000325623,0.000394127,-0.000269707,0.000385215,0.999999812,2
2,243,2.922005000,0.000776845,0.009143723,0.004579592,0.001011733,-0.000646277,0.001254268,0.999998493,2
3,252,3.030005000,-0.000126950,0.016003169,0.002156360,0.001402768,-0.000827996,0.001246769,0.999997896,6
4,257,3.090005000,-0.026645730,0.014557263,0.025406173,0.001615090,0.001467431,0.002607933,0.999994218,2
5,263,3.162005000,-0.028512946,0.009892056,0.032188168,0.001385711,0.001855569,0.003103588,0.999992502,5
6,271,3.258005000,-0.032649169,0.022169540,0.030482585,0.002515966,0.001892962,0.003510991,0.999988880,5
7,281,3.378005000,-0.039192068,0.037652946,0.025480013,0.004181309,0.001270545,0.004683781,0.999979482,3
8,315,3.786005000,-0.037000746,0.040230992,0.032534680,0.004501839,0.001522945,0.004379150,0.999979118,12
9,323,3.882005000,-0.036587410,0.032731400,0.033928773,0.003788038,0.002050430,0.003458638,0.999984742,12
10,331,3.978005000,-0.034850708,0.035076527,0.039738224,0.003723460,0.001911651,0.003903612,0.999983621,5
11,341,4.098005000,-0.031094395,0.049320111,0.048108257,0.005142859,0.001052615,0.004522270,0.999975996,1
12,353,4.242005000,-0.027697058,0.065263968,0.049139293,0.006557062,0.000343731,0.004096390,0.999970053,4
13,370,4.446005000,-0.022106562,0.066797782,0.050449969,0.007239385,0.000232931,0.003892993,0.999966190,6
14,393,4.722005000,-0.022091725,0.056328843,0.055849041,0.006498216,0.000963014,0.003844586,0.999971032,12
15,399,4.794005000,0.003957992,0.059829044,0.049520766,0.006858111,-0.000652136,0.000574104,0.999976105,7
16,406,4.878005000,0.004967970,0.053658608,0.049833355,0.005751644,-0.001385316,0.002262441,0.999979940,12
17,418,5.022005000,0.007170229,0.054728357,0.044637100,0.005474431,-0.001459887,0.002931450,0.999979653,12
18,423,5.082005000,0.004895713,0.054798084,0.035466611,0.005319321,-0.000098558,0.002463014,0.999982814,45
19,430,5.166005000,0.004452760,0.050718420,0.052226306,0.004432221,-0.001589125,0.004553034,0.999978550,89
