timestamp,success,tx,ty,tz,qx,qy,qz,qw,track_count,pnp_point_count,pnp_inlier_count,reprojection_error_mean,reprojection_error_median,pnp_rotation_step_deg,imu_rotation_step_deg,pnp_imu_rotation_error_deg,imu_rotation_consistent,imu_rejected,message,pose_source,map_point_count,map_inlier_count,local_landmark_count,map_descriptor_match_count,map_message,new_feature_count,tracking_state,reference_keyframe_id,is_keyframe,loop_candidate_count,loop_candidate_id,loop_match_count,loop_accepted,relocalized,graph_cost_before,graph_cost_after
0.006005000,1,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,0,0,nan,nan,nan,nan,nan,0,0,initialized,initialization,0,0,0,0,,1000,TRACKING,0,1,0,-1,0,0,0,nan,nan
0.018005000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,192,22,12,nan,nan,nan,nan,nan,0,0,too few PnP inliers: 12,none,1,0,17,0,not enough map correspondences,808,LOST,0,0,0,-1,0,0,0,nan,nan
0.030005000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,199,25,16,nan,nan,nan,nan,nan,0,0,too few PnP inliers: 16,none,1,0,17,0,not enough map correspondences,801,LOST,0,0,0,-1,0,0,0,nan,nan
0.042005000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,201,28,9,nan,nan,nan,nan,nan,0,0,too few PnP inliers: 9,none,0,0,17,0,not enough map correspondences,799,LOST,0,0,0,-1,0,0,0,nan,nan
0.054005000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,202,18,8,nan,nan,nan,nan,nan,0,0,too few PnP inliers: 8,none,0,0,17,0,not enough map correspondences,798,LOST,0,0,0,-1,0,0,0,nan,nan
0.066005000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,226,22,10,nan,nan,nan,nan,nan,0,0,too few PnP inliers: 10,none,0,0,17,0,not enough map correspondences,774,LOST,0,0,0,-1,0,0,0,nan,nan
0.078005000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,201,22,11,nan,nan,nan,nan,nan,0,0,too few PnP inliers: 11,none,0,0,17,0,not enough map correspondences,799,LOST,0,0,0,-1,0,0,0,nan,nan
0.090005000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,198,25,12,nan,nan,nan,nan,nan,0,0,too few PnP inliers: 12,none,0,0,17,0,not enough map correspondences,802,LOST,0,0,0,-1,0,0,0,nan,nan
0.102005000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,184,17,8,nan,nan,nan,nan,nan,0,0,too few PnP inliers: 8,none,0,0,17,0,not enough map correspondences,816,LOST,0,0,0,-1,0,0,0,nan,nan
0.114005000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,195,20,10,nan,nan,nan,nan,nan,0,0,too few PnP inliers: 10,none,0,0,17,0,not enough map correspondences,805,LOST,0,0,0,-1,0,0,0,nan,nan
0.126005000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,198,26,14,nan,nan,nan,nan,nan,0,0,too few PnP inliers: 14,none,0,0,17,0,not enough map correspondences,802,LOST,0,0,0,-1,0,0,0,nan,nan
0.138005000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,179,25,15,nan,nan,nan,nan,nan,0,0,too few PnP inliers: 15,none,0,0,17,0,not enough map correspondences,821,LOST,0,0,0,-1,0,0,0,nan,nan
0.150005000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,213,23,11,nan,nan,nan,nan,nan,0,0,too few PnP inliers: 11,none,0,0,17,0,not enough map correspondences,787,LOST,0,0,0,-1,0,0,0,nan,nan
0.162005000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,176,16,10,nan,nan,nan,nan,nan,0,0,too few PnP inliers: 10,none,0,0,17,0,not enough map correspondences,824,LOST,0,0,0,-1,0,0,0,nan,nan
0.174005000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,226,23,14,nan,nan,nan,nan,nan,0,0,too few PnP inliers: 14,none,0,0,17,0,not enough map correspondences,774,LOST,0,0,0,-1,0,0,0,nan,nan
0.186005000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,206,17,10,nan,nan,nan,nan,nan,0,0,too few PnP inliers: 10,none,0,0,17,0,not enough map correspondences,794,LOST,0,0,0,-1,0,0,0,nan,nan
0.198005000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,197,16,6,nan,nan,nan,nan,nan,0,0,too few PnP inliers: 6,none,0,0,17,0,not enough map correspondences,803,LOST,0,0,0,-1,0,0,0,nan,nan
0.210005000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,174,22,10,nan,nan,nan,nan,nan,0,0,too few PnP inliers: 10,none,0,0,17,0,not enough map correspondences,826,LOST,0,0,0,-1,0,0,0,nan,nan
0.222005000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,208,19,8,nan,nan,nan,nan,nan,0,0,too few PnP inliers: 8,none,0,0,17,0,not enough map correspondences,792,LOST,0,0,0,-1,0,0,0,nan,nan
0.234005000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,195,23,10,nan,nan,nan,nan,nan,0,0,too few PnP inliers: 10,none,0,0,17,0,not enough map correspondences,805,LOST,0,0,0,-1,0,0,0,nan,nan
0.246005000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,197,18,9,nan,nan,nan,nan,nan,0,0,too few PnP inliers: 9,none,0,0,17,0,not enough map correspondences,803,LOST,0,0,0,-1,0,0,0,nan,nan
0.258005000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,186,21,9,nan,nan,nan,nan,nan,0,0,too few PnP inliers: 9,none,1,0,17,1,not enough map correspondences,814,LOST,0,0,0,-1,0,0,0,nan,nan
0.270005000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,209,21,9,nan,nan,nan,nan,nan,0,0,too few PnP inliers: 9,none,0,0,17,0,not enough map correspondences,791,LOST,0,0,0,-1,0,0,0,nan,nan
0.282005000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,214,14,0,nan,nan,nan,nan,nan,0,0,not enough PnP correspondences,none,1,0,17,1,not enough map correspondences,786,LOST,0,0,0,-1,0,0,0,nan,nan
0.294005000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,172,22,14,nan,nan,nan,nan,nan,0,0,too few PnP inliers: 14,none,0,0,17,0,not enough map correspondences,828,LOST,0,0,0,-1,0,0,0,nan,nan
0.306005000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,166,20,8,nan,nan,nan,nan,nan,0,0,too few PnP inliers: 8,none,0,0,17,0,not enough map correspondences,834,LOST,0,0,0,-1,0,0,0,nan,nan
0.318005000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,182,32,14,nan,nan,nan,nan,nan,0,0,too few PnP inliers: 14,none,0,0,17,0,not enough map correspondences,818,LOST,0,0,0,-1,0,0,0,nan,nan
0.330005000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,187,17,13,nan,nan,nan,nan,nan,0,0,too few PnP inliers: 13,none,0,0,17,0,not enough map correspondences,813,LOST,0,0,0,-1,0,0,0,nan,nan
0.342005000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,170,20,8,nan,nan,nan,nan,nan,0,0,too few PnP inliers: 8,none,2,0,17,2,not enough map correspondences,830,LOST,0,0,0,-1,0,0,0,nan,nan
